# Системы контроля версий
Что такое система контроля версий (СКВ)? | ПО для отслеживания изменений файлов с возможностью отката к предыдущим версиям и совместной работы | Программа для автоматической компиляции исходного кода в исполняемый файл | Инструмент для развёртывания приложений в production-среде | Система для виртуализации серверных ресурсов
Какова основная задача утилиты make? | Определять, какие файлы устарели, и выполнять команды их пересборки в нужном порядке | Управлять виртуальными машинами на сервере | Хранить историю изменений исходного кода | Развёртывать приложение в контейнерах
Какая стандартная цель GNU make отвечает за удаление сгенерированных файлов сборки? | clean | install | all | check
Что входит в понятие автоматизации сборки? | Выполнение компиляции, компоновки, упаковки, тестирования и других задач без ручного вмешательства | Только автоматическое тестирование готового приложения | Только развёртывание приложения на сервере | Только контроль версий исходного кода
Какой вид автоматизации отвечает за повторяющиеся задачи компиляции и компоновки кода? | Автоматизация сборки (build automation) | Автоматизация развёртывания (deployment automation) | Автоматизация тестирования (test automation) | Автоматизация мониторинга (monitoring automation)
В чём ключевое отличие Gradle от Maven? | Gradle использует гибкий программируемый DSL (Groovy/Kotlin) вместо жёсткого XML-описания | Gradle не поддерживает управление зависимостями | Gradle работает только с языком Java | Gradle не поддерживает инкрементальные сборки
Какая задача Gradle отвечает за запуск тестов? | test | build | clean | jar
Какая фаза сборки Gradle отвечает за построение графа задач на основе скриптов сборки? | Конфигурация (Configuration) | Инициализация (Initialization) | Выполнение (Execution) | Компиляция (Compilation)

# Жизненный цикл программного обеспечения
Что такое жизненный цикл программного обеспечения? | Последовательность стадий от замысла до вывода из эксплуатации: анализ требований, проектирование, разработка, тестирование, внедрение, сопровождение | Период времени между двумя релизами одного продукта | Процесс тестирования приложения перед релизом | Совокупность инструментов для автоматизации сборки
Какой главный недостаток каскадной модели жизненного цикла? | Негибкость при изменении требований и позднее обнаружение ошибок (тестирование только в конце) | Высокая стоимость прототипирования на каждом этапе | Невозможность применения для проектов со стабильными требованиями | Отсутствие документации на каждом этапе
В чём преимущество инкрементной модели жизненного цикла? | Ранняя поставка работающих частей продукта и возможность получать обратную связь | Полное отсутствие необходимости в архитектурном планировании | Тестирование выполняется только после завершения всего проекта | Все требования фиксируются один раз в начале и не могут изменяться
Чем V-модель жизненного цикла отличается от каскадной? | Каждому этапу разработки соответствует свой этап тестирования | V-модель не предполагает последовательного прохождения этапов | V-модель применяется только для прототипирования | V-модель исключает этап анализа требований
В чём цель модели жизненного цикла на основе прототипа? | Уточнение требований с заказчиком с помощью упрощённого рабочего прототипа перед разработкой полной системы | Полная замена тестирования прототипированием | Ускорение компиляции исходного кода | Автоматизация развёртывания приложения в production
Какая особенность отличает спиральную модель жизненного цикла? | Акцент на анализе и снижении рисков на каждом витке спирали | Полное отсутствие итераций в разработке | Строго последовательное прохождение этапов без возврата назад | Применение только для небольших проектов с простыми требованиями

# Документирование знаний
Какая система используется для организации wiki-документации и лежит в основе Wikipedia? | MediaWiki | Confluence | Jira | GitLab Registry

# CI/CD
Что означает концепция CI/CD? | Непрерывную интеграцию и непрерывную доставку/развёртывание изменений кода с автоматической сборкой и тестированием | Единый стандарт документирования программного обеспечения | Технологию виртуализации серверных ресурсов | Метод резервного копирования репозитория
Какой из перечисленных принципов относится к CI/CD? | Частые небольшие коммиты с автоматической сборкой и тестированием каждого изменения | Редкие крупные релизы раз в несколько месяцев без автоматизации | Ручное тестирование каждого изменения перед слиянием в основную ветку | Хранение всех изменений в отдельных несвязанных репозиториях
Как организуется управление требованиями в CI/CD? | Через системы отслеживания задач, интегрированные с репозиторием и конвейером, с трассировкой от постановки до реализации | Требования фиксируются только в текстовом файле в начале проекта и не изменяются | Требования управляются исключительно через make-файл | Требования передаются устно на совещаниях без документирования
Что такое конвейер развёртывания (deployment pipeline)? | Последовательность автоматизированных этапов от сборки кода до развёртывания в production с тестированием на каждом шаге | Единый сервер, на котором хранятся все версии приложения | Утилита для слияния веток в Git | Способ хранения дельт между версиями файлов

# Среда окружения
Что такое среда окружения (environment) приложения? | Совокупность аппаратных и программных компонентов, настроек и переменных, в которых выполняется приложение | Набор инструментов для автоматической сборки исходного кода | Хранилище образов контейнеров | Система отслеживания задач и требований проекта
Какая переменная окружения Linux указывает список каталогов для поиска исполняемых файлов? | PATH | HOME | SHELL | TERM
Что такое системное окружение (ярус, tier)? | Логический уровень инфраструктуры со своей конфигурацией, выполняющий определённую функцию (разработка, тестирование, production) | Физический сервер, на котором развёрнуто приложение | Переменная окружения операционной системы | Образ контейнера с зависимостями приложения
Какие компоненты относятся к многоярусной архитектуре среды окружения? | Клиентский ярус, серверный ярус приложений и ярус данных | Только репозиторий кода и система контроля версий | Только утилита make и make-файлы | Только докер-демон и докер-клиент

# Виртуализация
Что такое виртуализация? | Технология создания виртуального представления вычислительных ресурсов поверх физического оборудования | Процесс компиляции исходного кода в машинный код | Метод хранения дельт между версиями файлов | Система отслеживания задач и требований
Какое из перечисленного является преимуществом виртуализации? | Экономия аппаратных ресурсов за счёт консолидации серверов | Полное отсутствие накладных расходов на производительность | Гарантированное отсутствие единой точки отказа | Отсутствие необходимости в лицензировании ПО
Какой из перечисленного является недостатком виртуализации? | Накладные расходы на производительность из-за работы гипервизора | Невозможность быстрого развёртывания новых сред | Невозможность изоляции приложений друг от друга | Отсутствие возможности создания снапшотов для резервного копирования
Для чего применяется виртуализация операционной системы? | Для создания нескольких изолированных экземпляров ОС на одном физическом сервере с помощью гипервизора | Для разделения одного приложения на независимые микросервисы | Для хранения истории изменений исходного кода | Для автоматической сборки и тестирования приложений
Для чего применяется виртуализация серверов приложений? | Для запуска нескольких независимых приложений на одном физическом сервере с изоляцией между ними | Для объединения физических дисков в единый виртуальный пул хранения | Для создания виртуальных коммутаторов и маршрутизаторов | Для имитации поведения внешних сервисов при тестировании
Что обеспечивает виртуализация сети? | Создание программных аналогов сетевой инфраструктуры (виртуальных коммутаторов, маршрутизаторов, VLAN) независимо от физического оборудования | Объединение дисковых хранилищ в единый виртуальный пул | Изоляцию процессов внутри одного контейнера | Преобразование исходного кода в машинный код
Что представляет собой виртуализация аппаратного обеспечения? | Абстрагирование физических ресурсов (CPU, память, диск) гипервизором, представляющим их виртуальным машинам как отдельное «виртуальное железо» | Создание изолированных пространств имён процессов в рамках одного ядра ОС | Хранение метаданных коммитов в каталоге .git | Автоматическое тестирование приложения на нескольких ОС
Что обеспечивает виртуализация систем хранения? | Объединение физических устройств хранения в единый виртуальный пул, представляемый как унифицированное хранилище | Создание виртуальных сетевых интерфейсов для контейнеров | Изоляцию процессов между виртуальными машинами | Автоматическое масштабирование серверов приложений
Для чего применяется виртуализация сервисов? | Для имитации поведения отдельных компонентов системы при тестировании без обращения к реальным зависимым сервисам | Для объединения физических дисков в виртуальный пул хранения | Для создания виртуальных машин с полноценной ОС | Для распределения сетевого трафика между серверами

# Контейнеризация и Docker
Что характерно для контейнерной виртуализации? | Несколько изолированных контейнеров используют общее ядро ОС хоста, но имеют изолированные файловые системы и процессы | Каждый контейнер запускает собственное полноценное ядро ОС | Контейнеры не могут быть изолированы друг от друга | Контейнеры требуют отдельного физического сервера для каждого приложения
Для чего применяется контейнеризация в современных вычислительных системах? | Для упаковки микросервисов и обеспечения консистентности окружения от разработки до production | Для замены систем контроля версий | Для физической виртуализации сетевого оборудования | Для хранения дельт между версиями исходного кода
Что такое контейнер приложения? | Изолированная исполняемая среда, содержащая приложение со всеми зависимостями, использующая общее ядро ОС хоста | Полноценная виртуальная машина с отдельным ядром ОС | Файл конфигурации для системы сборки | Центральный сервер хранения образов
Какова цель оркестрации контейнеров? | Автоматизированное управление развёртыванием, масштабированием и отказоустойчивостью множества контейнеров | Компиляция исходного кода приложения | Хранение истории изменений конфигурационных файлов | Создание виртуальных машин с полноценной ОС
Что такое образ контейнера? | Неизменяемый шаблон, содержащий файловую систему, код и зависимости, необходимые для запуска контейнера | Работающий экземпляр контейнера с изменяемым состоянием | Файл с историей коммитов репозитория | Сервер, на котором хранятся переменные окружения
Какова задача контейнерного движка (например, Docker Engine)? | Создание, запуск и управление контейнерами, образами, сетью и хранилищем на хосте | Хранение и распространение образов между разработчиками | Предоставление физических вычислительных ресурсов для контейнеров | Управление требованиями проекта в системе отслеживания задач
Что такое контейнерный хост? | Физическая или виртуальная машина с установленным контейнерным движком, на которой выполняются контейнеры | Централизованное хранилище образов контейнеров | Указатель на текущую ветку в Git | Утилита для автоматической сборки исходного кода
Какова задача сервера реестра (registry) в контейнеризации? | Централизованное хранение, версионирование и распространение образов контейнеров | Управление жизненным циклом запущенных контейнеров на хосте | Создание изолированных пространств имён процессов | Компиляция исходного кода приложения в образ
Что такое докер-демон в системе Docker? | Фоновый процесс на хосте, управляющий созданием, запуском и контролем контейнеров, образов, сетей и томов | Интерфейс командной строки для отправки команд пользователем | Централизованное хранилище образов контейнеров | Файл конфигурации для сборки приложения
Что такое докер-реестр (registry)? | Сервис для хранения и распространения докер-образов, откуда их скачивают (pull) и куда загружают (push) | Неизменяемый шаблон файловой системы и метаданных приложения | Фоновый процесс, управляющий контейнерами на хосте | Интерфейс командной строки docker
Какое пространство имён Docker отвечает за изоляцию идентификаторов процессов? | PID | NET | MNT | IPC

# Конфигурационное управление, DevOps, микросервисы
Какова цель конфигурационного управления? | Обеспечение согласованности конфигураций между средами и контроль изменений на протяжении жизненного цикла | Автоматическая компиляция исходного кода | Создание виртуальных машин на одном сервере | Хранение образов контейнеров в реестре
Какая процедура конфигурационного управления отвечает за проверку соответствия фактического состояния заявленному? | Аудит конфигурации | Идентификация конфигурации | Контроль изменений | Учёт состояния конфигурации
Что такое методология DevOps? | Культура и практики, объединяющие разработку и эксплуатацию для ускорения и повышения качества выпуска ПО | Технология контейнерной виртуализации приложений | Модель жизненного цикла ПО, основанная на каскадном подходе | Система контроля версий с распределённой архитектурой
Что отличает непрерывную доставку (Continuous Delivery) от непрерывного развёртывания? | Развёртывание в production выполняется вручную по решению человека, хотя код всегда готов к выпуску | Код собирается и тестируется только вручную | Изменения никогда не доставляются до production | Тестирование выполняется только после развёртывания в production
Что характерно для практики непрерывной интеграции (CI)? | Частое (несколько раз в день) слияние изменений разработчиков в общую ветку с автоматической сборкой и тестированием | Слияние изменений раз в несколько месяцев перед крупным релизом | Отсутствие автоматического тестирования при каждом коммите | Хранение изменений каждого разработчика в отдельном изолированном репозитории без слияния
Какой принцип лежит в основе микросервисной архитектуры? | Единственная ответственность каждого сервиса и децентрализованное управление данными | Единая общая база данных для всех компонентов приложения | Обязательное использование одной технологии для всех сервисов | Совместное развёртывание всех сервисов как единого монолита
Какой из перечисленного является недостатком микросервисной архитектуры? | Повышенная сложность взаимодействия между сервисами и обеспечения согласованности данных | Невозможность независимого масштабирования сервисов | Использование только одной технологии для всех сервисов | Невозможность параллельной разработки разными командами
